id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,live_energy,lyrical_depth,instrumentalness,spotify_id
1,Koh Yae Kwat Lat,Ye' Lay,pop,energetic,0.75,120,0.65,0.7,0.1,50,2000,upbeat|dynamic|catchy,0.8,0.6,0.05,2PP2TjpuKkCijScLBeZ03J
2,Chit Nay Yin Nae,X-Boxin,hip-hop,motivated,0.68,130,0.55,0.75,0.2,50,2010,driving|upbeat|inspiring,0.7,0.5,0.02,42HfpOwW9561SgtGnXSIhl
3,A Mhaung Sone Naye,NJ,lofi,chill,0.6,110,0.5,0.65,0.15,50,2020,smooth|relaxed|melodic,0.6,0.55,0.01,4D8eA0rMKlarDcDXRt0KbF
4,Radio,G Fatt,pop,joyful,0.8,140,0.7,0.85,0.05,50,2020,party|fun|upbeat,0.9,0.4,0.0,6rcoMH9JA7KhhgCrHqtjLQ
5,Moe,Ye' Lay,pop,energetic,0.72,125,0.6,0.7,0.12,50,2020,catchy|danceable|vibrant,0.75,0.65,0.03,1PoWcYcbxVpEjSd6OEQOsn
6,Saturday,Hlwan Paing,pop,joyful,0.85,135,0.75,0.8,0.08,50,2010,celebration|upbeat|festive,0.88,0.45,0.01,5HJ8H5f9GCMRiPxmN0HbgX
7,Chit Tal Hote?,Bunny Phyoe,lofi,relaxed,0.65,115,0.55,0.6,0.18,50,2010,smooth|easygoing|melodic,0.65,0.5,0.02,6yUSlgnntsnwKyYHKaVhIw
8,နားလည်ပါ - Reanimation,Big Bag,pop,motivated,0.7,128,0.6,0.75,0.1,50,2020,upbeat|inspiring|dynamic,0.78,0.55,0.0,6kp621KQbquyTFpGv03cUK
9,Bar Lo Nay Thay Lal,IDIOTS,lofi,chill,0.55,100,0.45,0.5,0.25,50,2010,laid-back|smooth|easygoing,0.5,0.4,0.01,6bM3ZUu26FPkawicS9zyQQ
10,Tho,Shwe Htoo,lofi,relaxed,0.6,120,0.5,0.55,0.2,50,2010,calm|smooth|melodic,0.55,0.45,0.02,0dALHcwbHZNWVJTe01kqgc
11,A Thet Thwin Pay Par,Hlwan Paing,pop,energetic,0.78,130,0.68,0.82,0.12,50,2010,upbeat|dynamic|catchy,0.85,0.6,0.01,5EkqEUqNeCHTdhgJnnFrsg
12,Saung Twin Nway,The Zero,lofi,chill,0.62,115,0.58,0.65,0.15,50,2010,smooth|easygoing|melodic,0.6,0.5,0.03,33EA4OCTg8w11oHM4Rtzcb
13,A Lwan Pyay A Nann - 2022 ver.,Bunny Phyoe,pop,joyful,0.7,125,0.65,0.75,0.1,50,2020,upbeat|catchy|danceable,0.72,0.55,0.02,4PBPuBFe840CYu8p9MpR8W
14,Ya Par Tal Htwat Thwar Par,Yair Yint Aung,pop,motivated,0.64,118,0.6,0.7,0.12,50,2010,inspiring|upbeat|dynamic,0.68,0.5,0.01,2S7XnRnTVlwt6GGkDTpSm0
15,Min Shi Tae Myoe,Myo Gyi,lofi,chill,0.58,105,0.5,0.55,0.2,50,2010,smooth|relaxed|melodic,0.55,0.45,0.02,5VmfjaGvt56uiBeMYKoNAq
16,A Pyit Ma Shi Khae,Hlwan Paing,pop,energetic,0.74,130,0.66,0.78,0.09,50,2010,upbeat|dynamic|catchy,0.8,0.55,0.01,4Xi1RKnEMXwOdIJRwZmMwD
17,Nghat,G Fatt,pop,joyful,0.77,135,0.7,0.8,0.06,50,2020,upbeat|fun|danceable,0.85,0.5,0.0,0QfOGDDMIwKo1LTA5BdDc0
18,Cherry,Doublej,lofi,relaxed,0.65,120,0.55,0.7,0.15,50,2020,smooth|easygoing|melodic,0.65,0.5,0.02,1QOWfc0W7B89AT9PqpijYp
19,A Tate,Bunny Phyoe,pop,joyful,0.7,130,0.65,0.75,0.1,50,2010,upbeat|catchy|danceable,0.72,0.55,0.02,58iWqoPlw9oYUBXUgmXvFR
20,Su Latt,IDIOTS,lofi,chill,0.6,110,0.5,0.55,0.2,50,2010,smooth|relaxed|melodic,0.55,0.45,0.01,2tb7RFEioBbA6UDJeTwqwr
21,Thu Nge Chin Thot Pay Sar,Hlwan Paing,pop,energetic,0.75,125,0.7,0.8,0.08,50,2010,upbeat|dynamic|catchy,0.8,0.55,0.01,4i5UBpTVjVSBOxnPQ02bC3
22,Lann Ma Gyi Yae Bayy,Wyne Su Khaing Thein,lofi,chill,0.65,115,0.55,0.6,0.15,50,2000,smooth|easygoing|melodic,0.65,0.5,0.02,3VA4sj78WwnMUIvS4XK0Bz
23,Sabel Phyu Lay Nae Twae Tae Nout,G Fatt,pop,joyful,0.8,140,0.75,0.85,0.05,50,2020,party|fun|upbeat,0.9,0.4,0.0,28zt7bSuS4sRe9VPQNJcWD
24,A Mhat Ta Mae,Doublej,pop,joyful,0.7,130,0.65,0.75,0.1,50,2020,upbeat|catchy|danceable,0.72,0.55,0.02,7cxBXWPketbRaFbloRya1T
25,Castle In The Air,Bunny Phyoe,lofi,relaxed,0.65,120,0.55,0.7,0.15,50,2010,smooth|easygoing|melodic,0.65,0.5,0.02,4P3JKWxlrEyuBBJCqLDQj3
26,A Phyae Khan,Hlwan Paing,pop,energetic,0.78,135,0.68,0.82,0.09,50,2020,upbeat|dynamic|catchy,0.8,0.55,0.01,5QNnL7qAgtM2jrmndwLPfr
27,Min Nae Nee Pho,IDIOTS,lofi,chill,0.6,110,0.5,0.55,0.2,50,2010,smooth|relaxed|melodic,0.55,0.45,0.01,2rGL42vEFVRDqhwzvv1Ixt
28,Hurt (feat. Jessica Parry),X-Boxin,hip-hop,sad,0.5,90,0.4,0.45,0.3,50,2010,emotional|reflective|melancholic,0.5,0.7,0.05,554tKUz2GyR3etdg34MeD6
29,Waiting For You,Yair Yint Aung,lofi,chill,0.62,115,0.58,0.65,0.15,50,2020,smooth|easygoing|melodic,0.6,0.5,0.02,4a2B38J4HZLV0gQLXzW99l
30,A Lwan a Htar,Sai Sai Kham Leng,pop,joyful,0.7,130,0.65,0.75,0.1,50,2010,upbeat|catchy|danceable,0.72,0.55,0.02,413wNgDDUP9HozJpoyRc4v
31,A Nar Nar Bay Mhar,Hlwan Paing,pop,energetic,0.75,125,0.7,0.8,0.08,50,2010,upbeat|dynamic|catchy,0.8,0.55,0.01,3LLMBRtzTnxOiq8cl499GV
32,Eain Met Yae A Thet,Bunny Phyoe,pop,motivated,0.68,128,0.6,0.75,0.1,50,2020,inspiring|upbeat|dynamic,0.7,0.55,0.02,46D3Luru5sb8ubCysvP3t7
33,Last December,Doublej,lofi,sad,0.55,105,0.45,0.5,0.25,50,2020,reflective|melancholic|emotional,0.5,0.4,0.01,7F85pUDEt84zMzJwdTFMBx
34,Ta Khar Phwit Hter Par Tal,Shwe Htoo,lofi,chill,0.6,120,0.5,0.55,0.2,50,2010,smooth|relaxed|melodic,0.55,0.45,0.01,2IYuwOoFx6LCt2JyXsBVSq
35,လမ်းမှာမျက်နှာချင်းဆိုင်,Yair Yint Aung,lofi,chill,0.65,115,0.55,0.6,0.15,50,2020,smooth|easygoing|melodic,0.65,0.5,0.02,19Ho4hS57C7lafhX8z6TTU
36,Nhin,Hlwan Paing,pop,joyful,0.7,130,0.65,0.75,0.1,50,2010,upbeat|catchy|danceable,0.72,0.55,0.02,2a1T2EoM9ooUFQp1KGVO83
37,Twae Ya Tar Wan Thar Tal,IDIOTS,lofi,chill,0.6,110,0.5,0.55,0.2,50,2010,smooth|relaxed|melodic,0.55,0.45,0.01,4aZGkIz3H7B1gkSk2Fzsau
38,Kaung Lay Ta Youk Yae Kaung Ma Lay,Bunny Phyoe,pop,energetic,0.72,125,0.67,0.76,0.09,50,2010,upbeat|dynamic|catchy,0.75,0.55,0.01,0sj9wv4Nh3TA6O9kzW8QLL
39,Gipsy,Doublej,lofi,relaxed,0.65,120,0.55,0.7,0.15,50,2020,smooth|easygoing|melodic,0.65,0.5,0.02,0cjbY6UjtRDXfwPH5V0YSi
40,ခမ်းနားလွန်းတဲ့နေ့,Doublej,lofi,chill,0.6,110,0.5,0.55,0.2,50,2020,smooth|relaxed|melodic,0.55,0.45,0.01,2rrFYCcdZ3bO0leT0VpiQL
41,Sate Kuu Yin Sar Oat,Shwe Htoo,pop,energetic,0.75,135,0.7,0.8,0.08,50,2010,upbeat|dynamic|catchy,0.8,0.55,0.01,7AFTYJiwAJY0On5d1tLyP3
42,Mhyaw Nay Myal Saung,Hlwan Paing,pop,motivated,0.68,128,0.6,0.75,0.1,50,2020,inspiring|upbeat|dynamic,0.7,0.55,0.02,159iBUk3emJnBBler4dCuQ
43,Chit Tine Lal Ma Nyar,Hlwan Paing,lofi,chill,0.6,110,0.5,0.55,0.2,50,2020,smooth|relaxed|melodic,0.55,0.45,0.01,3ugUJj7WsKCYqITh6aC2BK
44,Tain Tike Kabyar,Doublej,lofi,relaxed,0.65,120,0.55,0.7,0.15,50,2020,smooth|easygoing|melodic,0.65,0.5,0.02,0HJYamV6dL7sW1biPkLXtF
45,Chan Khae,IDIOTS,lofi,chill,0.6,110,0.5,0.55,0.2,50,2010,smooth|relaxed|melodic,0.55,0.45,0.01,5FRybOz9nnOxb5L3nByyVI
46,K,IDIOTS,lofi,sad,0.55,100,0.45,0.5,0.25,50,2020,reflective|melancholic|emotional,0.5,0.4,0.01,3e2NL4bwV9Bs3o3bxM2oOd
47,Eain Pyan Chain,Doublej,pop,joyful,0.7,130,0.65,0.75,0.1,50,2020,upbeat|catchy|danceable,0.72,0.55,0.02,3E1mvSCHd8rNkb3E5KQ8TY
48,Don't Lose Sleep,X-Boxin,hip-hop,sad,0.5,90,0.4,0.45,0.3,50,2010,emotional|reflective|melancholic,0.5,0.7,0.05,1kBM7GJhhzkMV7nXR26wKZ
49,You & I,One Direction,pop,happy,0.75,120,0.85,0.7,0.3,50,2010,uplifting|romantic|catchy,0.8,0.6,0.0,2afCBiru10AFckfOa49wIa
50,Cameras,Wiz Khalifa,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4sj4TMUHHRYV2Kvb9aPSIb
51,Hurt,X-Boxin,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0fpuABwbTgQbLVGsCCh52C
52,Locked Away (feat. Adam Levine),R. City,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,7x5xYW5W42OGPAdHUyyguy
53,Beautiful (feat. Camila Cabello),Bazzi,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,4VUwkH455At9kENOfzTqmF
54,Sorry (Remix),Y3llO,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0gibHY0qgr4dE7uswjY7Cb
